wall_iso,epoch,feed,header_ts,wire_bytes,status
2026-08-05T11:50:43,1785948643.2,trips,1785948617,219280,200
2026-08-05T11:50:43,1785948643.5,vehicles,1785948617,12751,200
2026-08-05T11:50:43,1785948643.8,alerts,1785948591,25853,200
2026-08-05T11:50:53,1785948653.2,trips,1785948617,219280,200
2026-08-05T11:50:53,1785948653.5,vehicles,1785948617,12751,200
2026-08-05T11:50:53,1785948653.7,alerts,1785948591,25853,200
2026-08-05T11:51:03,1785948663.2,trips,1785948617,219280,200
2026-08-05T11:51:03,1785948663.5,vehicles,1785948617,12751,200
2026-08-05T11:51:03,1785948663.8,alerts,1785948591,25853,200
2026-08-05T11:51:13,1785948673.2,trips,1785948660,220736,200
2026-08-05T11:51:13,1785948673.5,vehicles,1785948660,12946,200
2026-08-05T11:51:13,1785948673.7,alerts,1785948651,25853,200
2026-08-05T11:51:23,1785948683.2,trips,1785948660,220736,200
2026-08-05T11:51:23,1785948683.5,vehicles,1785948660,12946,200
2026-08-05T11:51:23,1785948683.7,alerts,1785948651,25853,200
2026-08-05T11:51:33,1785948693.2,trips,1785948660,220736,200
2026-08-05T11:51:33,1785948693.5,vehicles,1785948660,12946,200
2026-08-05T11:51:33,1785948693.8,alerts,1785948651,25853,200
2026-08-05T11:51:43,1785948703.2,trips,1785948681,222852,200
2026-08-05T11:51:43,1785948703.5,vehicles,1785948681,13052,200
2026-08-05T11:51:43,1785948703.7,alerts,1785948651,25853,200
2026-08-05T11:51:53,1785948713.2,trips,1785948681,222852,200
2026-08-05T11:51:53,1785948713.5,vehicles,1785948681,13052,200
2026-08-05T11:51:53,1785948713.7,alerts,1785948651,25853,200
2026-08-05T11:52:03,1785948723.2,trips,1785948681,222852,200
2026-08-05T11:52:03,1785948723.6,vehicles,1785948681,13052,200
2026-08-05T11:52:03,1785948723.8,alerts,1785948651,25853,200
2026-08-05T11:52:13,1785948733.2,trips,1785948725,221950,200
2026-08-05T11:52:13,1785948733.5,vehicles,1785948725,12728,200
2026-08-05T11:52:13,1785948733.8,alerts,1785948711,25853,200
2026-08-05T11:52:23,1785948743.2,trips,1785948725,221950,200
2026-08-05T11:52:23,1785948743.6,vehicles,1785948725,12728,200
2026-08-05T11:52:23,1785948743.8,alerts,1785948711,25853,200
2026-08-05T11:52:33,1785948753.2,trips,1785948725,221950,200
2026-08-05T11:52:33,1785948753.5,vehicles,1785948725,12728,200
2026-08-05T11:52:33,1785948753.7,alerts,1785948711,25853,200
2026-08-05T11:52:43,1785948763.2,trips,1785948746,218980,200
2026-08-05T11:52:43,1785948763.5,vehicles,1785948746,12717,200
2026-08-05T11:52:43,1785948763.7,alerts,1785948711,25853,200
2026-08-05T11:52:53,1785948773.2,trips,1785948746,218980,200
2026-08-05T11:52:53,1785948773.5,vehicles,1785948746,12717,200
2026-08-05T11:52:53,1785948773.7,alerts,1785948711,25853,200
2026-08-05T11:53:03,1785948783.2,trips,1785948746,218980,200
2026-08-05T11:53:03,1785948783.5,vehicles,1785948746,12717,200
2026-08-05T11:53:03,1785948783.7,alerts,1785948711,25853,200
2026-08-05T11:53:13,1785948793.2,trips,1785948746,218980,200
2026-08-05T11:53:13,1785948793.5,vehicles,1785948746,12717,200
2026-08-05T11:53:13,1785948793.7,alerts,1785948711,25853,200
2026-08-05T11:53:23,1785948803.2,trips,1785948788,217395,200
2026-08-05T11:53:23,1785948803.5,vehicles,1785948788,12928,200
2026-08-05T11:53:23,1785948803.7,alerts,1785948771,25853,200
2026-08-05T11:53:33,1785948813.2,trips,1785948788,217395,200
2026-08-05T11:53:33,1785948813.5,vehicles,1785948788,12928,200
2026-08-05T11:53:33,1785948813.7,alerts,1785948771,25853,200
2026-08-05T11:53:43,1785948823.2,trips,1785948788,217395,200
2026-08-05T11:53:43,1785948823.5,vehicles,1785948788,12928,200
2026-08-05T11:53:43,1785948823.7,alerts,1785948771,25853,200
2026-08-05T11:53:53,1785948833.2,trips,1785948810,218331,200
2026-08-05T11:53:53,1785948833.5,vehicles,1785948810,13029,200
2026-08-05T11:53:53,1785948833.7,alerts,1785948771,25853,200
2026-08-05T11:54:03,1785948843.2,trips,1785948810,218331,200
2026-08-05T11:54:03,1785948843.5,vehicles,1785948810,13029,200
2026-08-05T11:54:03,1785948843.7,alerts,1785948771,25853,200
2026-08-05T11:54:13,1785948853.2,trips,1785948810,218331,200
2026-08-05T11:54:13,1785948853.5,vehicles,1785948810,13029,200
2026-08-05T11:54:13,1785948853.7,alerts,1785948771,25853,200
2026-08-05T11:54:23,1785948863.2,trips,1785948852,218488,200
2026-08-05T11:54:23,1785948863.5,vehicles,1785948852,13321,200
2026-08-05T11:54:23,1785948863.7,alerts,1785948831,25853,200
2026-08-05T11:54:33,1785948873.2,trips,1785948852,218488,200
2026-08-05T11:54:33,1785948873.5,vehicles,1785948852,13321,200
2026-08-05T11:54:33,1785948873.7,alerts,1785948831,25853,200
2026-08-05T11:54:43,1785948883.2,trips,1785948852,218488,200
2026-08-05T11:54:43,1785948883.5,vehicles,1785948852,13321,200
2026-08-05T11:54:43,1785948883.7,alerts,1785948831,25853,200
2026-08-05T11:54:53,1785948893.2,trips,1785948852,218488,200
2026-08-05T11:54:53,1785948893.5,vehicles,1785948852,13321,200
2026-08-05T11:54:53,1785948893.7,alerts,1785948891,25853,200
2026-08-05T11:55:03,1785948903.2,trips,1785948873,220186,200
2026-08-05T11:55:03,1785948903.5,vehicles,1785948894,13231,200
2026-08-05T11:55:03,1785948903.7,alerts,1785948891,25853,200
2026-08-05T11:55:13,1785948913.2,trips,1785948873,220186,200
2026-08-05T11:55:13,1785948913.5,vehicles,1785948894,13231,200
2026-08-05T11:55:13,1785948913.7,alerts,1785948891,25853,200
2026-08-05T11:55:23,1785948923.2,trips,1785948873,220186,200
2026-08-05T11:55:23,1785948923.5,vehicles,1785948894,13231,200
2026-08-05T11:55:23,1785948923.7,alerts,1785948891,25853,200
2026-08-05T11:55:33,1785948933.2,trips,1785948920,214472,200
2026-08-05T11:55:33,1785948933.5,vehicles,1785948920,13137,200
2026-08-05T11:55:33,1785948933.7,alerts,1785948891,25853,200
2026-08-05T11:55:43,1785948943.2,trips,1785948920,214472,200
2026-08-05T11:55:43,1785948943.5,vehicles,1785948920,13137,200
2026-08-05T11:55:43,1785948943.7,alerts,1785948891,25853,200
2026-08-05T11:55:53,1785948953.2,trips,1785948920,214472,200
2026-08-05T11:55:53,1785948953.5,vehicles,1785948920,13137,200
2026-08-05T11:55:53,1785948953.7,alerts,1785948891,25853,200
2026-08-05T11:56:03,1785948963.2,trips,1785948942,214560,200
2026-08-05T11:56:03,1785948963.5,vehicles,1785948942,12922,200
2026-08-05T11:56:03,1785948963.7,alerts,1785948951,25853,200
2026-08-05T11:56:13,1785948973.2,trips,1785948942,214560,200
2026-08-05T11:56:13,1785948973.6,vehicles,1785948942,12922,200
2026-08-05T11:56:13,1785948973.8,alerts,1785948951,25853,200
2026-08-05T11:56:23,1785948983.2,trips,1785948942,214560,200
2026-08-05T11:56:23,1785948983.5,vehicles,1785948942,12922,200
2026-08-05T11:56:23,1785948983.8,alerts,1785948951,25853,200
2026-08-05T11:56:33,1785948993.2,trips,1785948987,222110,200
2026-08-05T11:56:33,1785948993.5,vehicles,1785948987,13232,200
2026-08-05T11:56:33,1785948993.8,alerts,1785948951,25853,200
2026-08-05T11:56:43,1785949003.2,trips,1785948987,222110,200
2026-08-05T11:56:43,1785949003.6,vehicles,1785948987,13232,200
2026-08-05T11:56:43,1785949003.8,alerts,1785948951,25853,200
2026-08-05T11:56:53,1785949013.2,trips,1785948987,222110,200
2026-08-05T11:56:53,1785949013.6,vehicles,1785948987,13232,200
2026-08-05T11:56:53,1785949013.8,alerts,1785948951,25853,200
